"sample_id","comparison_group","gene","cells","mean_expression","percent_cells_expressing"
"S1","other_clusters","CCL2",1742,0.986115067469114,47.3019517795637
"S1","other_clusters","CXCL1",1742,0.247873601606468,17.5086107921929
"S1","other_clusters","CXCL2",1742,0.851941715401006,42.1928817451206
"S1","other_clusters","CXCL3",1742,0.491803568321173,26.1194029850746
"S1","other_clusters","TNF",1742,0.186150379553826,11.308840413318
"S1","other_clusters","IL1B",1742,0.403674696022517,18.886337543054
"S1","other_clusters","PTGS2",1742,0.183582363531215,12.6865671641791
"S1","other_clusters","NFKB1",1742,0.455495349665903,30.9988518943743
"S1","other_clusters","NFKB2",1742,0.298283014255207,24.1102181400689
"S1","other_clusters","RELA",1742,0.145028674289097,12.9735935706085
"S1","other_clusters","RELB",1742,0.207080895976446,16.99196326062
"S1","other_clusters","JUN",1742,1.47911143658485,65.1549942594719
"S1","other_clusters","JUND",1742,1.04504636425147,61.8254879448909
"S1","other_clusters","FOS",1742,1.86302795386954,78.3582089552239
"S1","other_clusters","FOSB",1742,0.649845157148253,40.8151549942595
"S1","other_clusters","ATF3",1742,0.656376104358864,37.4282433983927
"S1","other_clusters","STAT3",1742,0.447372248955537,32.1469575200919
"S1","other_clusters","SOCS3",1742,0.746059310563212,43.0539609644087
"S1","other_clusters","ICAM1",1742,0.44707151443499,27.7267508610792
"S1","other_clusters","HIF1A",1742,0.311120992511337,24.3398392652124
"S1","other_clusters","EPAS1",1742,0.259625251261711,17.6234213547646
"S1","other_clusters","EGLN1",1742,0.135013011221567,12.3421354764638
"S1","other_clusters","EGLN2",1742,0.217543865968581,17.1641791044776
"S1","other_clusters","EGLN3",1742,0.19815548800153,15.7864523536165
"S1","other_clusters","VEGFA",1742,0.18069990909584,14.0068886337543
"S1","other_clusters","SLC2A1",1742,0.138578845921574,10.7921928817451
"S1","other_clusters","LDHA",1742,1.75083514689658,79.8507462686567
"S1","other_clusters","PDK1",1742,0.0674250437025418,6.71641791044776
"S1","other_clusters","BNIP3",1742,0.0568347685918226,5.16647531572905
"S1","other_clusters","CA9",1742,0.0090967376185416,1.14810562571757
"S1","other_clusters","ADM",1742,0.206747039767921,14.7531572904707
"S1","other_clusters","NDRG1",1742,0.43952907221118,27.0952927669346
"S1","other_clusters","PGK1",1742,0.584201369192196,41.3892078071183
"S1","other_clusters","ENO1",1742,0.9814288406246,60.2755453501722
"S1","other_clusters","HK2",1742,0.0551799017836035,5.33869115958668
"S1","other_clusters","DDIT4",1742,0.974608411801972,52.4110218140069
"S1","other_clusters","PFKFB3",1742,0.287943351684022,22.2158438576349
"S1","other_clusters","MKI67",1742,0.0286237146688142,2.41102181400689
"S1","other_clusters","TOP2A",1742,0.0212327472850666,1.72215843857635
"S1","other_clusters","PCNA",1742,0.129104256135572,11.308840413318
"S1","other_clusters","MCM2",1742,0.0157720717699745,1.83696900114811
"S1","other_clusters","MCM3",1742,0.0534624605825429,5.16647531572905
"S1","other_clusters","MCM4",1742,0.0346079507803988,4.01836969001148
"S1","other_clusters","MCM5",1742,0.0594112384462292,5.5683122847302
"S1","other_clusters","MCM6",1742,0.0256420344684958,2.52583237657865
"S1","other_clusters","MCM7",1742,0.0968449151955858,8.84041331802526
"S1","other_clusters","CDK1",1742,0.0419360610072534,3.90355912743972
"S1","other_clusters","CDK2",1742,0.0977393766854068,9.29965556831228
"S1","other_clusters","CCNB1",1742,0.0178197139961816,1.77956371986223
"S1","other_clusters","CCNB2",1742,0.0110204708489574,1.14810562571757
"S1","other_clusters","CCNA2",1742,0.0103413707333235,1.20551090700344
"S1","other_clusters","CDC20",1742,0.0178193079250752,1.60734787600459
"S1","other_clusters","BIRC5",1742,0.0234907174114329,2.29621125143513
"S1","other_clusters","UBE2C",1742,0.0287187161215455,2.18140068886338
"S1","other_clusters","CENPF",1742,0.0201538787089763,1.60734787600459
"S2","candidate_fibroblast_state","PIEZO1",1060,0.0642252657104421,4.71698113207547
"S2","candidate_fibroblast_state","PIEZO2",1060,0.043200961784498,2.92452830188679
"S2","candidate_fibroblast_state","TRPV4",1060,0.00218001726847324,0.188679245283019
"S2","candidate_fibroblast_state","TRPA1",1060,0.000639081606921844,0.0943396226415094
"S2","candidate_fibroblast_state","TRPC1",1060,0.0279844464870121,1.88679245283019
"S2","candidate_fibroblast_state","TRPC3",1060,0.00117250196659992,0.0943396226415094
"S2","candidate_fibroblast_state","TRPC6",1060,0.0198195504643233,1.41509433962264
"S2","candidate_fibroblast_state","ASIC1",1060,0.00168368967448782,0.0943396226415094
"S2","candidate_fibroblast_state","ASIC2",1060,0.00120001904275536,0.0943396226415094
"S2","candidate_fibroblast_state","ASIC3",1060,0.000748635456962748,0.0943396226415094
"S2","candidate_fibroblast_state","KCNK2",1060,0.047018137102746,3.77358490566038
"S2","candidate_fibroblast_state","KCNK4",1060,0.0153709364983762,1.13207547169811
"S2","candidate_fibroblast_state","PKD1",1060,0.172826629075662,11.5094339622642
