"seurat_cluster","reproduced_identity","gene","samples_evaluable","sample_ids","median_log2_cpm_difference","mean_log2_cpm_difference","minimum_log2_cpm_difference","positive_sample_fraction","strong_positive_sample_fraction","percent_cluster_cells_expressing","mean_cluster_log_normalized_expression","exploratory_wilcoxon_p","exploratory_bh_fdr","expected_marker_class"
"1","Myofib","BCAM",3,"DD1;DD2;DD3",-8.30688684607262,-8.67445049526089,-9.66167088545246,0,0,0.678391959798995,0.00243363831922375,NA,NA,"VSMC"
"2","VSMC","BCAM",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.61056632989521,6.39464966570153,4.65960247537876,1,1,88.9202142655765,2.15586390541973,0.00915168885265016,0.0268965973563124,"VSMC"
"3","Pericyte","BCAM",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-1.0427437907305,-0.896559216062361,-3.39513525729419,0.375,0.25,28.3802816901408,0.436991517718934,0.141482121482793,0.318611620573626,"VSMC"
"0","FB","CNN1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-7.15902477936385,-7.09846237507258,-9.51457587257517,0,0,1.23136746597537,0.0106784751259711,NA,NA,"VSMC"
"1","Myofib","CNN1",3,"DD1;DD2;DD3",-1.88511978097168,-1.61648190241571,-2.64880060227822,0,0,23.7185929648241,0.188960962812576,0.18144920772142,0.288215063359144,"VSMC"
"2","VSMC","CNN1",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.9620390143282,5.41149090487071,3.1471002198652,1,1,54.3557936284184,1.01480325089467,0.00915168885265016,0.0268965973563124,"VSMC"
"3","Pericyte","CNN1",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-0.421887822864721,-0.645997102807168,-2.90571278962658,0.375,0.125,19.0845070422535,0.295597334146106,0.293621543928906,0.486710937837709,"VSMC"
"0","FB","MYH11",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-8.69784628422885,-7.67097233851804,-10.6142743756554,0,0,1.32209980557356,0.0150555621172782,NA,NA,"VSMC"
"1","Myofib","MYH11",3,"DD1;DD2;DD3",-6.80506149847112,-7.36043890186771,-9.60710419158006,0,0,1.18090452261307,0.00498357527091256,NA,NA,"VSMC"
"2","VSMC","MYH11",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",7.41416006064105,6.72991773557022,4.30761479676172,1,1,87.285029602481,2.24519375783401,0.00915168885265016,0.0268965973563124,"VSMC"
"3","Pericyte","MYH11",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-1.13830399693695,-0.860765426847584,-2.64231364916561,0.375,0.25,28.8732394366197,0.504239231316207,0.107327557761612,0.267301361910824,"VSMC"
"0","FB","RERGL",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-11.43231881545,-9.65792509723383,-12.8682699187866,0,0,0.609202851587816,0.00730512719026874,NA,NA,"VSMC"
"1","Myofib","RERGL",3,"DD1;DD2;DD3",-8.94299081510043,-8.93703912769437,-10.4134456705296,0,0,0.879396984924623,0.00455680611027642,NA,NA,"VSMC"
"2","VSMC","RERGL",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",11.2193614644139,11.0107680873332,8.97051004897475,1,1,88.6664787144065,2.75757613763626,0.00915168885265016,0.0268965973563124,"VSMC"
"3","Pericyte","RERGL",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-6.98202557699576,-7.05741421261286,-10.5948420388184,0,0,1.33802816901408,0.0190957161105595,NA,NA,"VSMC"
