"gene","sample","comparator_identity","myofib_log2CPM","comparator_log2CPM","myofib_minus_comparator_log2CPM"
"FLNA","DD1","FB",7.34971603353598,7.41388121934888,-0.0641651858129002
"FLNA","DD1","VSMC",7.34971603353598,8.67655943450371,-1.32684340096773
"FLNA","DD1","Pericyte",7.34971603353598,8.04581346495489,-0.696097431418915
"FLNA","DD2","FB",8.05270262949773,7.37104812623071,0.681654503267021
"FLNA","DD2","VSMC",8.05270262949773,9.54060423312014,-1.48790160362241
"FLNA","DD2","Pericyte",8.05270262949773,8.15421930794916,-0.101516678451429
"FLNA","DD3","FB",7.66835938630929,7.24255700241906,0.425802383890232
"FLNA","DD3","VSMC",7.66835938630929,9.52463968660268,-1.85628030029338
"FLNA","DD3","Pericyte",7.66835938630929,7.93505233661716,-0.266692950307871
"PANX1","DD1","FB",3.86326835369514,3.73389736397126,0.129370989723882
"PANX1","DD1","VSMC",3.86326835369514,2.54753399712148,1.31573435657366
"PANX1","DD1","Pericyte",3.86326835369514,2.27276159327551,1.59050676041963
"PANX1","DD2","FB",3.97836209459078,3.55997100224127,0.41839109234951
"PANX1","DD2","VSMC",3.97836209459078,0.954941306043558,3.02342078854722
"PANX1","DD2","Pericyte",3.97836209459078,2.59067435547123,1.38768773911955
"PANX1","DD3","FB",3.70397142672146,3.26293369216786,0.441037734553593
"PANX1","DD3","VSMC",3.70397142672146,2.18295243015653,1.52101899656493
"PANX1","DD3","Pericyte",3.70397142672146,2.20285561072086,1.5011158160006
"TEAD1","DD1","FB",4.97968108040034,4.89176473353202,0.0879163468683197
"TEAD1","DD1","VSMC",4.97968108040034,2.59218340536487,2.38749767503546
"TEAD1","DD1","Pericyte",4.97968108040034,4.48835387996247,0.491327200437862
"TEAD1","DD2","FB",4.95327899409018,4.25727391742317,0.696005076667011
"TEAD1","DD2","VSMC",4.95327899409018,2.96262305434189,1.99065593974829
"TEAD1","DD2","Pericyte",4.95327899409018,4.15444867128662,0.79883032280356
"TEAD1","DD3","FB",5.25906660809718,4.8811094461658,0.37795716193139
"TEAD1","DD3","VSMC",5.25906660809718,3.86913723007171,1.38992937802548
"TEAD1","DD3","Pericyte",5.25906660809718,4.86382171300061,0.395244895096575
"CDC42","DD1","FB",8.65719781644047,8.45679181466217,0.200406001778298
"CDC42","DD1","VSMC",8.65719781644047,8.34944767278954,0.307750143650928
"CDC42","DD1","Pericyte",8.65719781644047,8.35487851869915,0.302319297741315
"CDC42","DD2","FB",8.32473460220252,7.88040311402426,0.444331488178262
"CDC42","DD2","VSMC",8.32473460220252,7.97726680057827,0.347467801624251
"CDC42","DD2","Pericyte",8.32473460220252,7.70130851770895,0.623426084493577
"CDC42","DD3","FB",8.70428166702507,8.59481745656996,0.109464210455107
"CDC42","DD3","VSMC",8.70428166702507,8.52435175332328,0.179929913701788
"CDC42","DD3","Pericyte",8.70428166702507,8.08860715835776,0.615674508667308
