"sample","source","seurat_cluster","reproduced_identity","singlet_cells","gene","percent_cells_expressing","mean_log_normalized_expression"
"SF3","SF","0","FB",369,"CFL1",84.8238482384824,1.48520463085329
"SF3","SF","0","FB",369,"TMEM63B",7.31707317073171,0.071979335920319
"SF3","SF","0","FB",369,"ITGA5",24.390243902439,0.270421128757499
"SF3","SF","0","FB",369,"MYLK",18.1571815718157,0.214394918521195
"SF3","SF","0","FB",369,"ILK",46.6124661246612,0.548822646992957
"SF3","SF","0","FB",369,"MYL9",59.0785907859079,0.897047821020788
"SF3","SF","0","FB",369,"NF2",10.0271002710027,0.0985997505137798
"SF3","SF","0","FB",369,"PARVA",33.3333333333333,0.362844432723717
"SF3","SF","0","FB",369,"PKD2",33.6043360433604,0.386592451291547
"SF3","SF","0","FB",369,"VCL",31.1653116531165,0.339794582865892
"SF3","SF","0","FB",369,"TEAD4",0,0
"SF3","SF","0","FB",369,"ITGA2",2.1680216802168,0.0250322543470722
"SF3","SF","0","FB",369,"WWTR1",18.970189701897,0.204765127400978
"SF3","SF","0","FB",369,"FLNA",60.4336043360434,0.785720523779316
"SF3","SF","0","FB",369,"PANX1",4.3360433604336,0.0402284548095278
"SF3","SF","0","FB",369,"TEAD1",18.6991869918699,0.210541330884382
"SF3","SF","0","FB",369,"CDC42",80.7588075880759,1.32507037487471
"SF3","SF","0","FB",369,"FERMT2",36.3143631436314,0.402617683355018
"SF3","SF","0","FB",369,"TLN1",59.0785907859079,0.77052130143796
"SF3","SF","0","FB",369,"PKD1",34.6883468834688,0.377577530419632
"SF3","SF","0","FB",369,"TLN2",19.5121951219512,0.211199996160244
"SF3","SF","0","FB",369,"RAC1",83.739837398374,1.40628436214659
"SF3","SF","0","FB",369,"YAP1",22.7642276422764,0.251795583349336
"SF3","SF","0","FB",369,"PIEZO1",10.5691056910569,0.112291417910234
"SF3","SF","0","FB",369,"TRPV4",0.5420054200542,0.00587797447040285
"SF3","SF","0","FB",369,"TRPA1",0.813008130081301,0.00772025631077624
"SF3","SF","0","FB",369,"TRPC1",10.0271002710027,0.107320229197319
"SF3","SF","0","FB",369,"TRPC3",0,0
"SF3","SF","0","FB",369,"TRPC6",0.5420054200542,0.0060144899777349
"SF3","SF","0","FB",369,"ASIC1",2.1680216802168,0.0224420268738972
"SF3","SF","0","FB",369,"ASIC2",0,0
"SF3","SF","0","FB",369,"ASIC3",0,0
"SF3","SF","0","FB",369,"KCNK2",1.3550135501355,0.0137227824478025
"SF3","SF","0","FB",369,"KCNK4",0,0
"SF3","SF","0","FB",369,"TMEM63A",9.75609756097561,0.100612771305046
