"module","role","gene","filename","identifier_type","matched_symbol","present","audit_error"
"integrin_focal_adhesion","primary","ITGB1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGB1",TRUE,""
"integrin_focal_adhesion","primary","ITGB3","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGB3",TRUE,""
"integrin_focal_adhesion","primary","ITGB5","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGB5",TRUE,""
"integrin_focal_adhesion","primary","PTK2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PTK2",TRUE,""
"integrin_focal_adhesion","primary","SRC","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","SRC",TRUE,""
"integrin_focal_adhesion","primary","FYN","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","FYN",TRUE,""
"integrin_focal_adhesion","primary","PXN","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PXN",TRUE,""
"integrin_focal_adhesion","primary","VCL","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","VCL",TRUE,""
"integrin_focal_adhesion","primary","TLN1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TLN1",TRUE,""
"integrin_focal_adhesion","primary","TLN2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TLN2",TRUE,""
"integrin_focal_adhesion","primary","FERMT2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","FERMT2",TRUE,""
"integrin_focal_adhesion","primary","ILK","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ILK",TRUE,""
"integrin_focal_adhesion","primary","PARVA","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PARVA",TRUE,""
"integrin_focal_adhesion","primary","BCAR1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","BCAR1",TRUE,""
"integrin_focal_adhesion","primary","CAV1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","CAV1",TRUE,""
"integrin_focal_adhesion","primary","DAG1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","DAG1",TRUE,""
"hippo_yap_taz","primary","YAP1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","YAP1",TRUE,""
"hippo_yap_taz","primary","WWTR1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","WWTR1",TRUE,""
"hippo_yap_taz","primary","TEAD1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TEAD1",TRUE,""
"hippo_yap_taz","primary","TEAD2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TEAD2",TRUE,""
"hippo_yap_taz","primary","TEAD3","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TEAD3",TRUE,""
