"source","pair_family","gene_a","gene_b","samples","positive_samples","median_excess_co_detection_rate","IQR_excess_co_detection_rate","median_enrichment_ratio","median_permutation_p","wilcoxon_one_sided_p","BH_FDR_within_source_pair_family","descriptive_within_sample_support"
"PRJNA607098","integrin_x_mechanosensor","ITGB1","PIEZO2",12,7,0.00579966595978436,0.00971589025049084,1.02246885876964,0.293532338308458,0.0583322323905117,0.0807677063868624,FALSE
"GSE130973","integrin_x_mechanosensor","PARVA","PIEZO2",5,2,-3.12604284332281e-05,0.000807887717762207,0.994507656740728,0.567164179104478,0.749907871464603,0.749907871464603,FALSE
"PRJNA607098","integrin_x_mechanosensor","PARVA","PIEZO2",12,11,0.0152174881767949,0.0103665369057403,1.11377624595669,0.0572139303482587,0.00143670696392626,0.00431012089177878,TRUE
"GSE130973","integrin_x_hippo","FERMT2","TEAD1",5,4,0.00276062070791631,0.00150278140699152,1.1031847343584,0.303482587064677,0.0690053687843298,0.13801073756866,FALSE
"PRJNA607098","integrin_x_hippo","FERMT2","TEAD1",12,12,0.0171763683872655,0.0092427901813482,1.10073431247435,0.00497512437810945,0.00110886073211853,0.00332658219635558,TRUE
"GSE130973","integrin_x_hippo","ITGA2","TEAD1",5,4,0.0003720894177382,5.51122402185609e-05,1.13540197461213,0.567164179104478,0.0398079007300567,0.11942370219017,FALSE
"PRJNA607098","integrin_x_hippo","ITGA2","TEAD1",12,5,-5.58292661876779e-05,0.00163568235500729,0.951434790852243,0.584577114427861,0.468736461181238,0.562483753417485,FALSE
"GSE130973","integrin_x_hippo","ITGA5","TEAD1",5,4,0.0052036644662904,0.00456722104485186,1.11314089004521,0.144278606965174,0.0690053687843298,0.13801073756866,FALSE
"PRJNA607098","integrin_x_hippo","ITGA5","TEAD1",12,12,0.018522055098631,0.0104221865685328,1.16893788142576,0.00497512437810945,0.00110886073211853,0.00332658219635558,TRUE
"GSE130973","integrin_x_hippo","ITGAV","TEAD1",5,5,0.00411176198341315,0.00157215834209528,1.15735229722771,0.18407960199005,0.0215572233915377,0.11942370219017,FALSE
"PRJNA607098","integrin_x_hippo","ITGAV","TEAD1",12,0,0,0,NA,1,1,1,FALSE
"GSE130973","integrin_x_hippo","ITGB1","TEAD1",5,4,0.00378647145690586,0.00289349698820432,1.03883857460683,0.213930348258706,0.17261553588592,0.230154047847893,FALSE
"PRJNA607098","integrin_x_hippo","ITGB1","TEAD1",12,12,0.0106454502280901,0.00652812195463935,1.05157278937612,0.00746268656716418,0.00110886073211853,0.00332658219635558,TRUE
"GSE130973","integrin_x_hippo","PARVA","TEAD1",5,4,0.0015878283009067,0.00444968032481312,1.10623881665275,0.358208955223881,0.0398079007300567,0.11942370219017,FALSE
"PRJNA607098","integrin_x_hippo","PARVA","TEAD1",12,12,0.0267036043406728,0.020961786389407,1.2422303886157,0.00746268656716418,0.00110886073211853,0.00332658219635558,TRUE
"GSE130973","integrin_x_mechanosensor","FERMT2","TMEM63B",5,2,-9.93813044447237e-05,0.00163464982646485,0.990981583965795,0.592039800995025,0.657084782774197,0.739220380620972,FALSE
"PRJNA607098","integrin_x_mechanosensor","FERMT2","TMEM63B",12,9,0.0103491596560478,0.0140088338616678,1.08375931476732,0.054726368159204,0.0421897212969802,0.0690377257586949,FALSE
"GSE130973","integrin_x_mechanosensor","ITGA2","TMEM63B",5,3,0.000770886425519133,0.000869054404851495,1.66754122987294,0.383084577114428,0.112457942007981,0.28917756516338,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGA2","TMEM63B",12,7,0.000601622754409151,0.0015597667873081,1.14506431308931,0.492537313432836,0.104713378480519,0.125656054176622,FALSE
"GSE130973","integrin_x_mechanosensor","ITGA5","TMEM63B",5,4,0.00375621393650966,0.00321515185130689,1.50643507028937,0.0597014925373134,0.0398079007300567,0.23884740438034,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGA5","TMEM63B",12,11,0.00931866570654401,0.0117279354615443,1.18656236364495,0.0174129353233831,0.00301977952432841,0.00679450392973893,TRUE
"GSE130973","integrin_x_mechanosensor","ITGAV","TMEM63B",5,3,0.00123248563482912,0.0020950758362283,1.18765502678678,0.467661691542289,0.250092128535397,0.450165831363715,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGAV","TMEM63B",12,0,0,0,NA,1,1,1,FALSE
"GSE130973","integrin_x_mechanosensor","ITGB1","TMEM63B",5,3,3.20975571942161e-06,0.00141164924648069,1.00015829069938,0.562189054726368,0.446369200472174,0.573903257749938,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGB1","TMEM63B",12,11,0.00674846031917965,0.0082830854663519,1.04636432101191,0.0348258706467662,0.0170852363461147,0.0307534254230065,TRUE
"GSE130973","integrin_x_mechanosensor","PARVA","TMEM63B",5,5,0.00116595080376304,0.000459525206599969,1.21364407312017,0.373134328358209,0.0215572233915377,0.194015010523839,FALSE
"PRJNA607098","integrin_x_mechanosensor","PARVA","TMEM63B",12,11,0.0148121267647611,0.00620489585652131,1.17598057003812,0.027363184079602,0.00143670696392626,0.00431012089177878,TRUE
