"gene","module","step08C2_support","step08C2_interpretation","step10B_role","log2fc","ave_expr","t","p_value","q_genome","cell_line","age_background","contrast","present_after_filter","q_candidate"
"TEAD1","hippo_yap_taz",FALSE,"not_supported_in_paired_sample_analysis","downstream_mechanotransduction_candidate",-0.0286560035160317,8.30660562246491,-0.418840180172554,0.680875432953184,0.833355937668344,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.72950939244984
"ITGAV","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.269602429942742,9.01439831811927,-3.72556677859058,0.00182722849464971,0.0158187974659861,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.00456807123662428
"ITGB1","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.0756449807700665,11.5318063303912,-0.979454781619134,0.341866122697013,0.55434008535946,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.419841377828959
"ITGA2","integrin_focal_adhesion",FALSE,"not_supported_in_paired_sample_analysis","negative_candidate",-0.776083201172586,9.25928355995145,-7.94979314129842,2.61594017196723e-06,0.000122898062215907,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,3.92391025795084e-05
"PARVA","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.108790989432531,9.05398393215613,-1.5904822826364,0.13119663992001,0.303488233771662,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.178904508981832
"ITGA5","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.132709095811023,8.38265420386552,1.94967730287143,0.0688784817705342,0.198250716938019,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.129147153319752
"FERMT2","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.16944232576488,7.61279496329138,2.27856297678537,0.0366901707381083,0.128737509164924,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.0786217944388034
"CFL1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.117669991442053,9.29055916900026,1.74564803920953,0.0999516501078787,0.254254754228991,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.149927475161818
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.442496117442214,6.75767382983139,-5.17048229022274,9.206309295879e-05,0.00180902723398451,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.000690473197190925
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.331635395914105,8.93472977679813,4.6404495761221,0.000268938891819504,0.00398936672026331,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.00134469445909752
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.00960006761495391,1.43500408513567,0.0300036662933988,0.976433462890171,0.988040627792547,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_present",TRUE,0.979702136333028
